sid1,sid2,route,mins
4220,1923,w,8.27150383679814
2013,2014,w,19.21328999169785
2014,2013,w,19.21328999169785
2223,3543,w,6.210949139546048
3543,2223,w,6.210949139546048
2230,3534,w,15.730837107432516
3534,2230,w,15.730837107432516
2232,2387,w,17.804443002828016
2387,2232,w,17.804443002828016
2542,2592,w,19.6672423078984
2592,2542,w,19.6672423078984
2599,2623,w,12.483901163264848
2623,2599,w,12.483901163264848
2604,2618,w,12.022490959880296
2618,2604,w,12.022490959880296
2607,2614,w,7.84816059354006
2614,2607,w,7.84816059354006
2608,2613,w,8.290511394780127
2613,2608,w,8.290511394780127
2654,2670,w,14.742101656626144
2670,2654,w,14.742101656626144
2763,3560,w,18.787016726621665
3560,2763,w,18.787016726621665
2830,2855,w,9.35831922298468
2855,2830,w,9.35831922298468
2837,2849,w,12.508091665656696
2849,2837,w,12.508091665656696
2838,2848,w,7.657452522583936
2848,2838,w,7.657452522583936
3057,3084,w,3.67328755366784
3084,3057,w,3.67328755366784
3058,3083,w,12.431714614238867
3083,3058,w,12.431714614238867
3066,3076,w,5.666251802551519
3076,3066,w,5.666251802551519
3126,3142,w,13.466359035091106
3142,3126,w,13.466359035091106
3184,3256,w,15.221294123607526
3256,3184,w,15.221294123607526
3200,5325,w,10.324022790575205
5325,3200,w,10.324022790575205
3202,3240,w,14.467379113343592
3240,3202,w,14.467379113343592
3203,3238,w,11.727418220119628
3238,3203,w,11.727418220119628
3204,3237,w,15.58709441659938
3237,3204,w,15.58709441659938
3209,3234,w,7.769979655389962
3234,3209,w,7.769979655389962
3212,3230,w,13.9284451166814
3230,3212,w,13.9284451166814
3217,3228,w,10.465650637602732
3228,3217,w,10.465650637602732
3220,3223,w,7.817304734257904
3223,3220,w,7.817304734257904
3226,3227,w,17.026246204374605
3227,3226,w,17.026246204374605
3361,3371,w,9.323488324893187
3371,3361,w,9.323488324893187
3362,3370,w,9.231994224901683
3370,3362,w,9.231994224901683
3364,3368,w,13.990430549593402
3368,3364,w,13.990430549593402
3414,3449,w,2.7235785657652105
3449,3414,w,2.7235785657652105
3417,3445,w,14.253828694801268
3445,3417,w,14.253828694801268
3418,3444,w,18.547801055725472
3444,3418,w,18.547801055725472
3420,3442,w,7.1383817814854025
3442,3420,w,7.1383817814854025
3545,3577,w,16.425426965918984
3577,3545,w,16.425426965918984
3551,3571,w,10.823114390991318
3571,3551,w,10.823114390991318
3556,3565,w,19.85924553926062
3565,3556,w,19.85924553926062
3557,3564,w,13.904001235526014
3564,3557,w,13.904001235526014
3566,4246,w,14.461155886034252
4246,3566,w,14.461155886034252
3772,3773,w,17.097463609153202
3773,3772,w,17.097463609153202
4003,4102,w,5.891776834601826
4102,4003,w,5.891776834601826
4006,4099,w,5.537429066322479
4099,4006,w,5.537429066322479
4139,4713,w,12.35780871985807
4713,4139,w,12.35780871985807
4217,4718,w,16.672015615832564
4718,4217,w,16.672015615832564
4938,5388,w,15.127718758694138
5388,4938,w,15.127718758694138
